XK21NQK,1961-08-11,2030-03-06,taxi,Leeds,ygLHM,true
OM37JNM,1928-01-04,2052-05-14,taxi,Leeds,eoNRF,true
TI86UWN,1908-10-14,1953-01-24,taxi,Leeds,ocUZY,false
XD61XBJ,1939-05-10,2062-12-16,PHV,Leeds,fsXIB,false
KT32JQP,1947-08-02,2070-02-01,PHV,Birmingham,okCJP,true
WM23ZJN,2097-10-15,2099-06-24,PHV,Birmingham,jqTAO,false
XP71BID,1949-12-16,2079-03-06,taxi,Leeds,xfPOC,true
ML75BVH,1975-07-18,2062-04-02,taxi,Birmingham,pnLSU,false
NT91CST,1980-10-08,2035-11-07,PHV,Leeds,dpNHS,false
WH98VXM,1898-04-30,2088-06-14,taxi,Birmingham,ncJZT,false
VU37PUH,2090-05-19,2091-08-08,PHV,Birmingham,efAOX,false
MJ12KWY,1931-02-01,2067-12-30,PHV,Birmingham,yeXZJ,true
IB74UNK,2094-10-25,2097-06-05,taxi,Leeds,joPNL,false
DB27IQL,1995-12-07,2016-01-07,PHV,Birmingham,mvGKF,false
XK19XDU,1901-09-29,2054-03-24,PHV,Leeds,ciBJP,false
ID38OHW,2014-08-31,2090-10-29,PHV,Birmingham,ykJOT,true
ZR29BPI,1901-05-18,2065-01-06,PHV,Leeds,ihHYS,true
UO67DBU,2038-07-25,2041-10-19,PHV,Leeds,gePXZ,false
CR48WXK,1980-05-21,2040-09-12,PHV,Leeds,bsBPU,true
UH48CZS,1889-03-02,1942-04-02,taxi,Birmingham,bpIMQ,true
XM42CWT,2011-10-23,2082-12-30,taxi,Birmingham,qgUJK,false
FK37QFE,1986-10-11,2043-01-19,taxi,Leeds,muUNI,true
QX52NCA,1929-05-24,2077-07-30,taxi,Leeds,ydRAE,true
LM83PMA,2026-06-26,2085-02-18,PHV,Birmingham,dzZPB,false
CM21XSY,1885-08-29,1930-12-16,PHV,Leeds,jgFTY,true
ZY51LFQ,2068-05-08,2076-02-19,taxi,Leeds,lnLKS,true
XD23OAK,1926-01-25,1988-06-29,taxi,Leeds,qoMLC,true
JM94QBW,2094-09-30,2098-09-06,PHV,Birmingham,riDQB,false
GZ36ZJC,2007-01-02,2059-02-02,PHV,Leeds,blWKR,true
ON78UNB,1937-02-17,1959-11-06,taxi,Leeds,xkXEH,false
